,id,breed,classification,sex,watch_tv,iq,hours_watched
0,AA6365,Border Collie,Brightest Dogs,Female,No,196,0
1,ACF266,Border Collie,Brightest Dogs,Male,Yes,188,110.1270867
2,D9D93C,Border Collie,Brightest Dogs,Male,Yes,211,156.2870278
3,A72131,Border Collie,Brightest Dogs,Male,No,187,0
4,BF6071,Border Collie,Brightest Dogs,Female,Yes,200,119.4628275
5,D07CAA,Border Collie,Brightest Dogs,Male,Yes,206,125.9976379
6,08369A,Border Collie,Brightest Dogs,Female,No,183,0
7,0AC2F4,Border Collie,Brightest Dogs,Female,No,197,0
8,96F0C7,Border Collie,Brightest Dogs,Female,No,205,0
9,BF72FE,Border Collie,Brightest Dogs,Male,Yes,201,136.1372645
10,58E07A,Border Collie,Brightest Dogs,Female,No,195,0
11,1FBF47,Border Collie,Brightest Dogs,Male,Yes,215,129.4120462
12,B7741E,Border Collie,Brightest Dogs,Male,Yes,202,142.8112335
13,DA66C4,Border Collie,Brightest Dogs,Male,Yes,196,149.9379143
14,DFC3EA,Border Collie,Brightest Dogs,Male,Yes,211,151.4326231
15,39E906,Border Collie,Brightest Dogs,Female,No,202,0
16,6734A9,Border Collie,Brightest Dogs,Male,Yes,193,127.6989654
17,0593FA,Border Collie,Brightest Dogs,Female,Yes,189,131.1127704
18,F89C2C,Border Collie,Brightest Dogs,Male,Yes,197,137.6054204
19,B7EB76,Border Collie,Brightest Dogs,Male,Yes,229,150.1009773
20,19A7D1,Border Collie,Brightest Dogs,Male,No,222,0
21,5FE693,Border Collie,Brightest Dogs,Female,Yes,209,142.7203988
22,9DC67A,Border Collie,Brightest Dogs,Female,No,194,0
23,C1932A,Border Collie,Brightest Dogs,Female,No,183,0
24,4B2BCD,Border Collie,Brightest Dogs,Male,No,184,0
25,52ECD8,Border Collie,Brightest Dogs,Female,No,212,0
26,5CBA67,Border Collie,Brightest Dogs,Female,No,193,0
27,898C88,Border Collie,Brightest Dogs,Male,Yes,200,122.2488255
28,1BEADD,Border Collie,Brightest Dogs,Male,Yes,192,122.8409083
29,CB6ACB,Border Collie,Brightest Dogs,Male,Yes,169,119.3203715
30,8D9F4B,Border Collie,Brightest Dogs,Male,No,164,0
31,893BD5,Border Collie,Brightest Dogs,Male,Yes,207,150.8339058
32,C5D52F,Border Collie,Brightest Dogs,Female,Yes,219,149.5101348
33,F0D8B9,Border Collie,Brightest Dogs,Female,No,187,0
34,9A146C,Border Collie,Brightest Dogs,Female,Yes,188,130.580342
35,04EB58,Border Collie,Brightest Dogs,Female,Yes,208,157.9501535
36,2EA9F1,Border Collie,Brightest Dogs,Male,Yes,251,162.494529
37,EBEC79,Border Collie,Brightest Dogs,Female,No,216,0
38,1B7317,Border Collie,Brightest Dogs,Female,No,183,0
39,1FFFB0,Border Collie,Brightest Dogs,Male,Yes,189,133.8756188
40,2EFA1F,Border Collie,Brightest Dogs,Female,Yes,206,136.6154117
41,58F478,Border Collie,Brightest Dogs,Male,Yes,221,153.7503016
42,33030B,Border Collie,Brightest Dogs,Female,No,172,0
43,925A3F,Border Collie,Brightest Dogs,Female,Yes,238,154.7549383
44,592437,Border Collie,Brightest Dogs,Female,No,184,0
45,F484BC,Border Collie,Brightest Dogs,Female,Yes,200,140.945708
46,25295D,Border Collie,Brightest Dogs,Female,Yes,204,144.4391376
47,90C524,Border Collie,Brightest Dogs,Male,No,185,0
48,398F84,Border Collie,Brightest Dogs,Male,No,210,0
49,3AC8BB,Border Collie,Brightest Dogs,Female,No,175,0
50,108B2E,Border Collie,Brightest Dogs,Female,Yes,208,150.5652297
51,785359,Border Collie,Brightest Dogs,Female,No,208,0
52,21F7CB,Border Collie,Brightest Dogs,Female,Yes,179,117.6870569
53,551F24,Border Collie,Brightest Dogs,Female,No,189,0
54,AEA952,Border Collie,Brightest Dogs,Female,No,204,0
55,9B032D,Border Collie,Brightest Dogs,Female,Yes,202,155.4906503
56,64912B,Border Collie,Brightest Dogs,Female,Yes,216,132.0068889
57,7C6CDF,Border Collie,Brightest Dogs,Male,No,215,0
58,B87013,Border Collie,Brightest Dogs,Male,No,223,0
59,EE18F0,Border Collie,Brightest Dogs,Female,Yes,179,125.4005751
60,EC85C9,Border Collie,Brightest Dogs,Female,Yes,203,121.522503
61,9010B1,Border Collie,Brightest Dogs,Female,No,209,0
62,A2CF16,Border Collie,Brightest Dogs,Male,No,179,0
63,5F32B7,Border Collie,Brightest Dogs,Male,Yes,237,161.0928377
64,DC5D23,Border Collie,Brightest Dogs,Male,Yes,193,130.9262434
65,AE0A8D,Border Collie,Brightest Dogs,Male,No,207,0
66,D4DCB9,Border Collie,Brightest Dogs,Female,Yes,212,136.8198102
